,100. Floral structural sex (D1),102. Ovary position (D1),201. Number of perianth parts (C1),204. Fusion of perianth (C1),207. Symmetry of perianth (D1),230. Perianth phyllotaxy (D1),231. Number of perianth whorls (C1),232. Perianth merism (C1),234. Perianth differentiation (D1),301. Number of fertile stamens (C1),305. Filament (D1),306. Fusion of filaments (C1),308. Fusion of filaments to inner perianth series (C1),311. Anther orientation (D1),312. Anther attachment (D1),313. Anther dehiscence (D1),314. Connective extension (apical) (D1),330. Androecium structural phyllotaxy (D1),331. Number of androecium structural whorls (C1),332. Androecium structural merism (C1),400. Gynoecium phyllotaxy (D1),401. Number of structural carpels (C1),403. Fusion of ovaries (C1),404. Style differentiation (D1),406. Fusion of styles (C1),411. Number of ovules per functional carpel (C1),412. Placentation (D1),5000. Number of apertures (C1),5002. Aperture shape (D1),
Quinchamalium_chilense,="(0)",="(1)",="10",="85%",="(5)",="(0)",="2",="5",="(1)",="5",="(2)",="70%",="0%",="(0)",="(0)",="(0)",="",="(0)",="1",="5",="",="1",="",="(5)",="",="1",="",="",="",
Reinwardtia_indica,="(0)",="(0)",="10",="0-5%",="(0)",="(0)",="2",="5",="(1)",="5",="(2)",="10%",="10%",="(1)",="(2)",="(0)",="(0)",="(0)",="2",="5",="(0)",="3",="100%",="(5)",="5%",="2",="(0)",="0",="(6)",
Rotala_densiflora,="(0)",="",="7-10",="44-73%",="(0)",="(0)",="2",="3-5",="(4)",="3-5",="",="0%",="10%",="",="",="",="",="(0)",="1",="3-5",="",="",="",="(1)",="",="",="(0)",="",="",
Rourea_minor,="(0)",="(0)",="10",="20%",="(0)",="(0)",="2",="5",="(4)",="10",="",="",="",="(0)",="",="(0)",="",="",="",="",="",="5",="0%",="(1)",="",="2",="",="3",="(2)",
Ruellia_patula,="(0)",="(0)",="",="",="",="",="",="",="",="4",="(2)",="",="25%",="",="(1)",="",="",="",="",="",="(0)",="2",="100%",="(1)",="",="4-5",="(0)",="",="",
Schlegelia_fuscata,="",="(0)",="",="70-90%",="(2)",="",="2",="4-5",="(1)",="4",="(2)",="0%",="",="",="",="(0)",="(0)",="",="1",="4",="",="2",="100%",="(3)",="100%",="8-9",="(0)",="3",="(5)",
Schoepfia_chinensis,="(0)",="(0)",="8-12",="80-100%",="(0)",="(0)",="2",="3-5",="(1)",="4-5",="(B)",="0%",="100%",="(2)",="",="",="",="(0)",="1",="4-5",="(0)",="1",="",="(1)",="",="3",="(5)",="",="",
Schoepfia_schreberi,="(0)",="(0)",="10",="10-90%",="(2)",="(0)",="2",="5",="(1)",="5",="(3)",="0%",="70-90%",="(0)",="(1)",="(0)",="",="(0)",="1",="5",="(0)",="3",="100%",="(3)",="100%",="1",="(5)",="4",="(1)",
Sebaea_aurea,="",="",="8",="",="",="(0)",="2",="4",="",="",="",="",="",="",="(0)",="(1)",="",="",="",="",="",="",="",="(1)",="",="",="",="",="",
Sebaea_microphylla,="(0)",="",="10",="0-50%",="",="(0)",="2",="5",="(4)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1)",="",="",="",="",="",
Silvianthus_bracteatus,="(0)",="(1)",="8-10",="",="(2)",="(0)",="2",="4-5",="(4)",="2",="",="",="",="",="(2)",="",="",="(0)",="1",="2",="",="",="",="(1)",="",="",="",="",="",
Solanum_dulcamara,="(0)",="(0)",="10",="25%",="(0)",="(0)",="2",="5",="(1)",="5",="(B)",="0%",="10%",="(2)",="(0)",="(1)",="",="(0)",="1",="5",="(0)",="2",="100%",="(1)",="",="",="(0)",="3",="(2)",
Solanum_herculeum,="",="",="10",="",="(2)",="(0)",="2",="5",="(4)",="5",="",="",="",="",="",="(01)",="",="(0)",="1",="5",="",="",="",="",="",="",="",="",="",
Solanum_lycopersicum,="(0)",="(0)",="12",="0-47%",="(0)",="(0)",="2",="6",="(1)",="6",="",="0%",="",="",="",="(0)",="",="(0)",="1",="6",="",="",="",="(1)",="",="",="",="",="",
Solanum_nigrum,="(0)",="(0)",="10",="40-50%",="(0)",="(0)",="2",="5",="(4)",="5",="(2)",="0%",="",="",="",="(1)",="",="",="",="",="(0)",="2",="100%",="(1)",="100%",="20-50",="(0)",="",="",
Solanum_petrophilum,="(0)",="(0)",="10",="",="(0)",="(0)",="2",="5",="(1)",="5",="(1)",="0%",="0%",="",="(0)",="(1)",="",="(0)",="1",="5",="(0)",="2",="100%",="(1)",="",="",="(0)",="",="",
Symphytum_officinale,="(0)",="(0)",="",="",="",="(0)",="",="5",="",="5",="(35)",="",="75-90%",="(0)",="(2)",="(0)",="",="(0)",="1",="5",="(0)",="2",="100%",="(1)",="100%",="2",="",="",="",
Turnera_ulmifolia,="(0)",="(0)",="10",="0-40%",="(0)",="(0)",="2",="5",="(1)",="5",="(23)",="0%",="0-50%",="(0)",="(0)",="(0)",="",="(0)",="1",="5",="(0)",="3",="100%",="(15)",="",="10-999",="(3)",="0",="(6)",
Varronia_bullata,="(0)",="(0)",="5-10",="",="(5)",="(0)",="2",="5",="(14)",="5",="(2)",="0%",="10%",="",="(1)",="(0)",="(0)",="(0)",="1",="5",="(0)",="2",="",="(5)",="68-77%",="",="",="3",="(1)",
Vismia_baccifera,="(0)",="(0)",="10",="",="(0)",="(0)",="2",="5",="(1)",="200-250",="(1)",="50-75%",="",="",="(1)",="(0)",="",="(0)",="2",="5",="(0)",="5",="100%",="(1)",="0-20%",="10-999",="(0)",="",="",
Vitaliana_primuliflora,="(0)",="(0)",="",="",="(0)",="",="",="5",="(1)",="5",="",="0%",="",="",="",="",="",="",="1",="",="",="",="100%",="",="100%",="",="(5)",="",="",
